unitAvail,unitInspec,askIncome,callBack,finHelp,followUp,otherInspec,agentAge,auditorChild,auditorKid,auditorCouple,isQualified,agentBLK,agentFEM,auditID,pctBLK,houseVAL,officeBLK,inCity,sameAgent,race
0,0,0,1,0,0,1,35,0,0,1,0,0,1,52001232,3.6273685,89500,2.1300001,0,1,white
1,1,0,1,1,0,1,45,0,0,1,0,0,1,52001740,0.79000002,92500,2.04,0,0,white
1,0,1,1,1,0,0,60,0,0,1,0,0,1,52001820,5.1914706,82000,7.8299999,1,0,white
0,0,1,1,1,0,1,50,0,0,1,1,0,1,52001888,3.6273685,162500,1.21,0,1,white
1,1,0,1,1,0,0,50,1,1,1,0,0,1,52002768,9.3000002,117000,0.17,0,0,white
1,1,0,1,0,0,0,45,1,1,1,0,0,1,52002780,1.77,74000,2.2193334,0,0,white
1,1,0,1,0,0,0,40,1,1,1,0,0,1,52002820,3.6273685,68500,1.7,0,0,white
1,1,0,0,0,0,1,70,1,0,1,0,0,1,52002728,3.6273685,108000,0.07,0,1,white
1,1,0,1,0,0,1,60,1,0,1,0,0,1,52002832,0.1,105000,0.07,0,1,white
1,0,0,1,1,0,1,39,1,0,1,0,0,1,52002860,5.1914706,105000,1.36,1,0,white
1,1,0,1,0,0,1,38,1,1,1,0,0,0,52001780,2.1300001,77000,4.5100002,0,1,white
1,0,0,1,0,0,0,60,0,0,1,0,0,1,52001848,1.73,61450,1.48,1,1,white
1,0,0,1,0,0,0,65,1,1,1,1,0,1,52001880,4.6199999,38950,2.4300001,1,1,white
1,1,0,1,0,0,0,30,0,0,1,0,0,1,52002032,4.6007018,104750,2.04,0.57499999,1,white
1,0,0,1,1,0,0,60,0,0,1,0,0,1,52002080,0.77999997,76000,4.5100002,1,1,white
1,1,0,0,0,0,0,50,0,0,0,0,0,1,64005088,4.4866667,170000,1.12,0,1,white
1,0,0,0,0,0,0,45,1,0,1,0,0,0,64005528,4.4866667,142500,3.1500001,0,1,white
1,0,0,1,0,0,0,35,1,0,1,0,0,1,64005168,4.4866667,145000,0.12,0,0,white
1,1,0,1,0,0,0,40,0.43421054,0.17105263,0,0,0,1,64005400,6.7199998,49875,1.9299999,0,0,white
1,1,0,0,0,0,0,60,0,0,1,0,0,1,64006432,0.07,85025,1.42,0,1,white
1,1,0,1,0,0,1,45,1,0,1,0,0,1,64005008,22.93,63975,0.80000001,0,1,white
0,1,1,1,1,0,0,62,0,0,0,0,0,0,64005460,2.5899999,99275,2.6600001,0,0,white
1,1,0,1,0,0,0,50,0,0,0,0,0,1,64005552,0.19,170000,0.079999998,0,1,white
1,1,0,1,0,0,0,42,0,0,0,0,0,0,64005592,2.3900001,76500,1.42,0,2,white
1,1,0,1,0,0,0,36,1,0,1,0,0,1,64006472,2.1700001,109155,3.0799999,0,0,white
1,1,0,0,1,0,0,62,1,0,0,0,0,1,64006488,17.84,66525,2.1900001,0,1,white
1,1,0,1,0,0,0,60,0.43421054,0.17105263,0,0,0,1,64005048,0.19,142500,1.12,0,0,white
1,1,0,1,0,0,0,30,0,0,0,0,0,1,64005128,6.0599999,159000,2.1900001,0,0,white
1,1,0,1,0,0,0,35,1,1,1,0,0,1,64005208,3.0799999,150000,3.0799999,0,0,white
1,1,0,0,0,0,0,45,0.43421054,0.17105263,0,0,0,1,64006540,4.4866667,152800,0.19,0,1,white
1,1,0,1,0,0,1,45,0,0,0,0,0,1,64005600,4.4866667,52250,2.1700001,0,0,white
1,1,0,0,0,0,0,45,0,0,1,0,0,1,64006512,2.5899999,71250,2.1700001,0,0,white
1,0,0,1,1,0,1,36,0,0,1,0,0,1,64005440,4.4866667,48925,6.0599999,0,0,white
1,1,0,0,1,0,0,37,0.43421054,0.17105263,0,0,0,0,64005500,6.7199998,47452.5,1.9299999,0,0,white
1,0,0,0,1,0,1,62,1,0,1,0,0,0,64005192,4.4866667,120000,5.8200002,0,1,white
1,1,0,1,0,0,0,48,0,0,1,0,0,1,64005032,2.3699999,52900,2.7495,0,0,white
1,0,0,0,0,0,0,45,0,0,1,0,0,0,64005392,1.12,116475,2.1700001,0,0,white
1,1,0,1,0,0,1,35,1,0,1,0,0,1,64005580,2.1900001,153805,0.19,0,0,white
1,1,0,1,0,0,1,52,0,0,0,0,0,1,64006528,4.4866667,52255,2.7495,0,1,white
1,0,0,0,0,0,0,50,0,0,1,0,0,0,64005152,4.4866667,59375,6.0599999,0,0,white
1,0,0,0,0,0,0,42,0,0,0,0,0,0,64005472,4.4866667,56952.5,4.3400002,0,2,white
1,1,0,1,0,0,0,50,0,0,1,0,0,0,64005608,4.4866667,43910,2.7495,0,1,white
0,1,0,0,0,0,0,44.607143,0,0,1,0,0,0,64006568,3.27,56050,4.8099999,0,1,white
1,1,0,1,0,0,0,40,1,0,1,0,0,0,64005568,4.4866667,71250,3.1900001,0,1,white
,0,0,0,0,0,1,65,1,0,1,0,0,1,64006560,4.4866667,153000,1.12,0,1,white
1,1,0,0,0,0,1,45,0,0,0,0,0,1,64006460,4.4866667,52250,2.9200001,0,2,white
1,1,0,1,0,0,1,62,1,0,0,0,0,0,64006520,5.8200002,58425,3.1500001,0,1,white
0,0,0,1,0,0,0,40,0,0,0,0,0,0,64005540,4.4866667,35625,3.21,0,0,white
1,0,0,1,0,0,0,40,0,0,1,0,0,1,64005408,4.4866667,127300,1.17,0,1,white
1,0,0,1,0,0,0,45,1,1,1,0,0,1,64005448,3.0799999,104025,2.1700001,0,1,white
1,1,0,0,0,0,0,45,1,1,1,0,0,1,64006448,4.4866667,150000,4.0100002,0,1,white
1,1,0,0,0,0,0,40,0.43421054,0.17105263,0,0,0,1,64006552,2.5899999,130000,2.51,0,1,white
0,0,0,1,0,0,1,40,0,0,1,0,0,0,64005480,4.4866667,70205,1.9299999,0,0,white
0,0,0,1,0,0,1,40,1,1,1,0,0,1,64005488,0.19,85500,4.6300001,0,0,white
1,1,0,0,0,0,0,45,1,1,1,0,0,1,64006480,3.27,75525,7.5300002,0,1,white
1,1,0,0,0,0,0,45,0,0,1,0,0,1,64006500,4.4866667,104500,7.3400002,0,0,white
1,1,0,0,0,0,0,45,1,1,1,0,0,1,64006440,0.80000001,80056,2.1700001,0,0,white
1,1,0,0,0,0,0,40,0,0,1,1,0,0,64005112,9.4399996,58425,2.6600001,0,0,white
1,0,1,0,1,0,1,35,1,0,1,1,0,0,87510280,6.5023808,310000,0.16,0,0,white
1,0,0,1,0,1,0,38,0,0,1,0,0,1,87511008,0.02,152500,0.17,0,0,white
1,1,0,0,0,0,0,45,1,0,1,0,1,1,87511040,5.8099999,357500,64.949997,0,0,white
1,1,1,0,0,1,0,50,1,0,1,0,0,1,87511048,8.0500002,217500,0.059999999,0,0,white
1,1,0,0,0,0,1,50,1,0,1,0,0,1,87511960,0.1,215000,0.02,0,0,white
1,0,0,0,1,0,1,50,1,0,1,1,0,1,87511984,0.37,180000,0.67000002,0,0,white
1,1,0,1,1,0,0,30,1,1,1,0,0,1,87510240,1.26,150000,1.26,0,1,white
1,0,0,1,1,0,1,30,1,1,1,0,0,0,87510304,6.5023808,175000,1.26,0,0,white
1,1,1,0,0,0,1,62,1,1,1,1,0,1,87511120,6.5023808,308500,0.57999998,0,0,white
1,1,1,1,1,0,1,52,1,1,1,1,0,0,87511128,2.3099999,205000,0.34,0,1,white
1,0,1,1,1,0,1,40,0,0,1,0,0,1,87511088,6.5023808,132500,11.64,0,1,white
1,1,1,1,1,0,1,35,1,1,1,1,0,1,87510944,6.5023808,302500,0.20999999,0,0,white
1,0,1,0,1,1,0,55,0,0,1,1,0,0,87510248,14.15,120000,0.57999998,0,0,white
1,1,1,0,0,1,1,40,1,1,1,1,0,1,87511888,6.5023808,202500,2.47,0,1,white
